"Year","Rank","Country code","Country","Region Code","Region","Overall","Coverage","Openness"
"2022","90","BWA","Botswana","AFZ","Southern Africa","51.2","44.8","56.7"
"2022","91","BEN","Benin","AFW","Western Africa","51.1","42.8","58.2"
"2022","92","MNE","Montenegro","EUZ","Southern Europe","51.0","40.6","60.0"
"2022","92","KGZ","Kyrgyz Republic","ASC","Central Asia","51.0","60.1","43.1"
"2022","94","BFA","Burkina Faso","AFW","Western Africa","49.6","41.0","57.0"
"2022","94","SUR","Suriname","AMZ","South America","49.6","47.5","51.4"
"2022","96","LKA","Sri Lanka","ASZ","Southern Asia","49.5","53.5","46.1"
"2022","97","MMR","Myanmar","ASE","South-Eastern Asia","49.1","45.0","52.6"
"2022","98","XKX","Kosovo","EUZ","Southern Europe","48.4","47.1","49.5"
"2022","99","THA","Thailand","ASE","South-Eastern Asia","47.6","52.0","43.9"
"2022","100","SEN","Senegal","AFW","Western Africa","47.4","48.7","46.3"
"2022","101","VCT","St. Vincent & Grenadines","AMC","Caribbean","46.8","38.9","52.3"
"2022","102","SLE","Sierra Leone","AFW","Western Africa","46.1","44.7","47.2"
"2022","103","UGA","Uganda","AFE","Eastern Africa","45.6","43.5","47.3"
"2022","104","KEN","Kenya","AFE","Eastern Africa","45.5","55.5","37.0"
"2022","104","GIN","Guinea","AFW","Western Africa","45.5","53.9","38.3"
"2022","104","GMB","The Gambia","AFW","Western Africa","45.5","42.7","47.9"
"2022","107","ARG","Argentina","AMZ","South America","45.2","50.9","40.4"
"2022","108","MAC","Macao SAR, China","ASF","Eastern Asia","45.0","40.8","48.0"
"2022","109","LAO","Lao PDR","ASE","South-Eastern Asia","44.9","42.3","47.2"
"2022","109","BTN","Bhutan","ASZ","Southern Asia","44.9","48.2","42.1"
"2022","111","BIH","Bosnia and Herzegovina","EUZ","Southern Europe","44.8","48.6","41.5"
"2022","111","PAN","Panama","AMM","Central America","44.8","41.9","47.2"
"2022","113","TON","Tonga","OPI","Pacific Islands","44.7","50.3","40.8"
"2022","114","CPV","Cabo Verde","AFW","Western Africa","44.6","45.3","44.0"
"2022","115","NGA","Nigeria","AFW","Western Africa","44.5","47.9","41.5"
"2022","115","BLZ","Belize","AMM","Central America","44.5","44.3","44.6"
"2022","117","NPL","Nepal","ASZ","Southern Asia","44.4","49.3","40.2"
"2022","118","CMR","Cameroon","AFM","Middle Africa","43.8","41.6","45.7"
"2022","119","MDV","Maldives","ASZ","Southern Asia","43.4","45.3","42.0"
"2022","120","QAT","Qatar","ASW","Western Asia","43.1","46.3","40.3"
"2022","121","PAK","Pakistan","ASZ","Southern Asia","43.0","51.5","35.8"
"2022","121","SLV","El Salvador","AMM","Central America","43.0","46.9","39.7"
"2022","123","FJI","Fiji","OPI","Pacific Islands","42.3","46.0","39.2"
"2022","123","ZWE","Zimbabwe","AFE","Eastern Africa","42.3","31.9","51.1"
"2022","125","TGO","Togo","AFW","Western Africa","42.1","42.6","41.8"
"2022","126","TJK","Tajikistan","ASC","Central Asia","41.8","46.8","37.5"
"2022","127","WSM","Samoa","OPI","Pacific Islands","41.5","44.4","39.0"
"2022","128","KNA","St. Kitts and Nevis","AMC","Caribbean","41.4","29.1","50.0"
"2022","129","MRT","Mauritania","AFW","Western Africa","41.1","42.8","39.6"
"2022","130","EGY","Egypt","AFN","Northern Africa","41.0","52.5","31.3"
"2022","131","GHA","Ghana","AFW","Western Africa","40.9","47.3","35.4"
"2022","132","HND","Honduras","AMM","Central America","40.7","39.2","42.0"
"2022","132","BDI","Burundi","AFE","Eastern Africa","40.7","42.1","39.4"
"2022","132","ETH","Ethiopia","AFE","Eastern Africa","40.7","37.2","43.6"
"2022","135","CUB","Cuba","AMC","Caribbean","40.4","54.0","28.8"
"2022","136","IRQ","Iraq","ASW","Western Asia","40.3","36.3","43.6"
"2022","136","IRN","Iran, Islamic Rep.","ASZ","Southern Asia","40.3","42.4","38.4"
"2022","138","KWT","Kuwait","ASW","Western Asia","40.2","41.1","39.5"
"2022","139","NIC","Nicaragua","AMM","Central America","39.8","47.5","33.3"
"2022","140","BGD","Bangladesh","ASZ","Southern Asia","39.6","45.0","35.0"
"2022","141","LBR","Liberia","AFW","Western Africa","39.5","29.5","48.1"
"2022","141","MLI","Mali","AFW","Western Africa","39.5","47.7","32.6"
"2022","143","STP","Sao Tome and Principe","AFM","Middle Africa","38.7","46.8","33.1"
"2022","144","LSO","Lesotho","AFZ","Southern Africa","38.4","37.4","39.2"
"2022","145","MWI","Malawi","AFE","Eastern Africa","38.3","40.5","36.4"
"2022","146","ABW","Aruba","AMC","Caribbean","38.2","41.2","36.1"
"2022","147","SYC","Seychelles","AFE","Eastern Africa","38.0","45.8","32.7"
"2022","148","NAM","Namibia","AFZ","Southern Africa","37.6","36.6","38.5"
"2022","149","CHN","China","ASF","Eastern Asia","37.4","44.4","31.4"
"2022","150","KHM","Cambodia","ASE","South-Eastern Asia","37.2","32.9","40.9"
"2022","151","MOZ","Mozambique","AFE","Eastern Africa","36.8","45.7","29.1"
"2022","152","YEM","Yemen","ASW","Western Asia","36.6","39.6","34.0"
"2022","153","GTM","Guatemala","AMM","Central America","36.1","36.0","36.3"
"2022","154","NER","Niger","AFW","Western Africa","35.7","38.3","33.4"
"2022","155","TLS","Timor-Leste","ASE","South-Eastern Asia","35.6","38.2","33.3"
"2022","156","AGO","Angola","AFM","Middle Africa","34.8","37.7","32.3"
"2022","157","SMR","San Marino","EUZ","Southern Europe","34.6","38.2","32.1"
"2022","158","PLW","Palau","OPI","Pacific Islands","34.4","42.0","29.0"
"2022","159","SOM","Somalia","AFE","Eastern Africa","34.3","23.5","43.6"
"2022","159","TTO","Trinidad and Tobago","AMC","Caribbean","34.3","34.6","34.0"
"2022","161","GAB","Gabon","AFM","Middle Africa","33.3","26.0","39.5"
"2022","162","GUY","Guyana","AMZ","South America","33.2","27.3","38.2"
"2022","163","ZMB","Zambia","AFE","Eastern Africa","33.1","32.7","33.4"
"2022","163","MDG","Madagascar","AFE","Eastern Africa","33.1","34.7","31.7"
"2022","165","COD","Congo, Dem. Rep.","AFM","Middle Africa","32.9","27.8","37.3"
"2022","166","BHS","The Bahamas","AMC","Caribbean","32.8","32.6","33.0"
"2022","167","AFG","Afghanistan","ASZ","Southern Asia","31.9","34.1","30.0"
"2022","168","LBN","Lebanon","ASW","Western Asia","31.7","28.3","34.7"
"2022","169","VUT","Vanuatu","OPI","Pacific Islands","30.9","35.3","27.2"
"2022","170","GNQ","Equatorial Guinea","AFM","Middle Africa","30.8","33.2","28.7"
"2022","171","KIR","Kiribati","OPI","Pacific Islands","30.7","32.4","29.6"
"2022","172","DMA","Dominica","AMC","Caribbean","30.4","24.2","34.8"
"2022","173","ATG","Antigua and Barbuda","AMC","Caribbean","30.3","29.8","30.7"
"2022","174","DZA","Algeria","AFN","Northern Africa","29.7","36.9","23.5"
"2022","175","DJI","Djibouti","AFE","Eastern Africa","29.4","30.7","28.4"
"2022","176","TUV","Tuvalu","OPI","Pacific Islands","29.2","29.3","29.2"
"2022","177","SLB","Solomon Islands","OPI","Pacific Islands","28.1","28.5","27.8"
"2022","178","MHL","Marshall Islands","OPI","Pacific Islands","26.7","29.1","25.0"
"2022","179","TCD","Chad","AFM","Middle Africa","26.6","25.4","27.6"
"2022","179","FSM","Micronesia, Fed. Sts.","OPI","Pacific Islands","26.6","25.4","27.4"
"2022","181","CAF","Central African Republic","AFM","Middle Africa","25.6","25.3","25.9"
"2022","182","MCO","Monaco","EUW","Western Europe","24.6","26.7","23.2"
"2022","183","PNG","Papua New Guinea","OPI","Pacific Islands","24.5","20.8","27.6"
"2022","184","LBY","Libya","AFN","Northern Africa","22.6","17.6","26.9"
"2022","185","BRB","Barbados","AMC","Caribbean","22.2","21.2","22.9"
"2022","186","AIA","Anguilla","AMC","Caribbean","22.0","21.1","22.6"
"2022","187","SYR","Syrian Arab Republic","ASW","Western Asia","21.1","23.4","19.2"
"2022","188","CIV","Cote d'Ivoire","AFW","Western Africa","20.3","15.6","24.3"
"2022","189","VEN","Venezuela","AMZ","South America","18.3","17.9","18.7"
"2022","190","GRD","Grenada","AMC","Caribbean","16.3","16.4","16.2"
"2022","191","SWZ","Eswatini","AFZ","Southern Africa","15.4","13.7","17.0"
"2022","192","NRU","Nauru","OPI","Pacific Islands","10.6","7.3","12.9"
"2022","193","SSD","South Sudan","AFE","Eastern Africa","8.5","2.8","13.3"
"2022","194","HTI","Haiti","AMC","Caribbean","3.7","3.3","4.0"
"2022","195","TKM","Turkmenistan","ASC","Central Asia","1.3","1.1","1.4"
